#prefix	did	when	nextofkin
chebi	443041		
chebi	594834		
chemspider	20016012		
chemspider	20476395		
chemspider	20477287		
chemspider	358		
ensembl	ENSG00000011177		ENSG00000011177.5
ensembl	ENSG00000079782		ENSG00000079782.8
ensembl	ENSG00000096087		ENSG00000096087.5
ensembl	ENSG00000105663		ENSG00000272333
ensembl	ENSG00000105663.1		ENSG00000272333
ensembl	ENSG00000132142		ENSG00000278540
ensembl	ENSG00000132142.1		ENSG00000278540
ensembl	ENSG00000172070		ENSG00000271303
ensembl	ENSG00000172070.5		ENSG00000271303
ensembl	ENSG00000175818		ENSG00000175818.6
ensembl	ENSG00000184674		ENSG00000184674.8
ensembl	ENSG00000187919		ENSG00000187919.5
ensembl	ENSG00000197592		ENSG00000197592.3
ensembl	ENSG00000198339		ENSG00000276180
ensembl	ENSG00000198339.3		ENSG00000276180
ensembl	ENSG00000198981		ENSG00000284032
ensembl	ENSG00000198981.2		ENSG00000284032
ensembl	ENSG00000199004		ENSG00000284190
ensembl	ENSG00000199066		ENSG00000284544
ensembl	ENSG00000199066.1		ENSG00000284544
ensembl	ENSG00000199097		ENSG00000284231
ensembl	ENSG00000207603		ENSG00000284179
ensembl	ENSG00000207603.1		ENSG00000284179
ensembl	ENSG00000207694		ENSG00000284453
ensembl	ENSG00000207700		ENSG00000276365
ensembl	ENSG00000207718		ENSG00000283785
ensembl	ENSG00000207745		ENSG00000284536
ensembl	ENSG00000207748		ENSG00000283797
ensembl	ENSG00000207764		ENSG00000284508
ensembl	ENSG00000207795		ENSG00000283904
ensembl	ENSG00000207865		ENSG00000284357
ensembl	ENSG00000207875		ENSG00000284520
ensembl	ENSG00000207929		ENSG00000284112
ensembl	ENSG00000207936		ENSG00000283733
ensembl	ENSG00000207939		ENSG00000284567
ensembl	ENSG00000207949		ENSG00000283844
ensembl	ENSG00000207966		ENSG00000207966.1
ensembl	ENSG00000207968		ENSG00000207968.2
ensembl	ENSG00000208034		ENSG00000284538
ensembl	ENSG00000208035		ENSG00000284182
ensembl	ENSG00000209707		ENSG00000209707.1
ensembl	ENSG00000211589		ENSG00000211589.1
ensembl	ENSG00000213052		ENSG00000213052.1
ensembl	ENSG00000214699		ENSG00000214699.1
ensembl	ENSG00000221035		ENSG00000221035.1
ensembl	ENSG00000255604		ENSG00000109072
ensembl	ENSG00000262852		ENSG00000170276
ensembl	ENSG00000266658		ENSG00000266658.2
ensembl	ENSG00000273895		ENSG00000284027
ensembl	ENSG00000274160		ENSG00000274160.1
ensembl	ENSG00000274250		ENSG00000283797
ensembl	ENSG00000274784		ENSG00000284231
ensembl	ENSG00000275042		ENSG00000284536
ensembl	ENSG00000275534		ENSG00000283762
ensembl	ENSG00000275668		ENSG00000284214
ensembl	ENSG00000275739		ENSG00000284112
ensembl	ENSG00000275802		ENSG00000284375
ensembl	ENSG00000276018		ENSG00000283705
ensembl	ENSG00000276752		ENSG00000284203
ensembl	ENSG00000276792		ENSG00000283927
ensembl	ENSG00000277328		ENSG00000283844
ensembl	ENSG00000277934		ENSG00000284033
ensembl	ENSG00000282827		ENSG00000164053
ensembl	ENSG00000283147		ENSG00000283147.1
hgnc.symbol	CARS	2020-08-03	CARS1
hgnc.symbol	CASC4	2020-08-03	GOLM2
hgnc.symbol	DOPEY1	2020-08-03	DOP1A
hgnc.symbol	MARCH1	2020-08-03	MARCHF1
hgnc.symbol	OTX3	2020-08-03	DMBX1
hgnc.symbol	RNASEN	2020-08-03	DROSHA
hgnc.symbol	SEPT1	2020-08-03	SEPTIN1
hgnc.symbol	TMEM206	2020-08-03	PACC1
hgnc.symbol	TWISTNB	2020-08-03	POLR1F
hgnc.symbol	WARS	2020-08-03	WARS1
hmdb	HMDB0001001		HMDB0001934
hmdb	HMDB0001303		HMDB0015532
hmdb	HMDB0005069		HMDB0001934
hmdb	HMDB0013119		HMDB0001934
hmdb	HMDB0013120		HMDB0001934
hmdb	HMDB0013135		HMDB0001934
hmdb	HMDB0013323		HMDB0001934
hmdb	HMDB0013644		HMDB0001934
hmdb	HMDB0013661		HMDB0001934
hmdb	HMDB0013666		HMDB0001934
hmdb	HMDB0013673		HMDB0001934
hmdb	HMDB0013697		HMDB0001934
hmdb	HMDB0014330		HMDB0001934
lipidmaps	LMFA00000010		
lipidmaps	LMFA00000011		
lipidmaps	LMFA00000012		
lipidmaps	LMFA00000013		
lipidmaps	LMFA00000014	2020-12-08	LMFA00000051
lipidmaps	LMFA01010040		
lipidmaps	LMFA01010041		
lipidmaps	LMFA01020137		
lipidmaps	LMFA01020174		
lipidmaps	LMFA01020178		
lipidmaps	LMFA01020179		
lipidmaps	LMFA01020250		
lipidmaps	LMFA01020251		
lipidmaps	LMFA01020252		
lipidmaps	LMFA01020257		
lipidmaps	LMFA01020258		
lipidmaps	LMFA01020259		
lipidmaps	LMFA01020260		
lipidmaps	LMFA01020269		
lipidmaps	LMFA01020271		
lipidmaps	LMFA01020282		
lipidmaps	LMFA01020284		
lipidmaps	LMFA01020286		
lipidmaps	LMFA01020344		
lipidmaps	LMFA01020354		
lipidmaps	LMFA01020380		
lipidmaps	LMFA01020403		
lipidmaps	LMFA01030049		
lipidmaps	LMFA01030128		
lipidmaps	LMFA01030160		
lipidmaps	LMFA01030168		
lipidmaps	LMFA01030170		
lipidmaps	LMFA01030181		
lipidmaps	LMFA01030187		
lipidmaps	LMFA01030190		
lipidmaps	LMFA01030196		
lipidmaps	LMFA01030197		
lipidmaps	LMFA01030276		
lipidmaps	LMFA01030281		
lipidmaps	LMFA01030340		
lipidmaps	LMFA01030387		
lipidmaps	LMFA01030607		
lipidmaps	LMFA01030619		
lipidmaps	LMFA01030620		
lipidmaps	LMFA01030621		
lipidmaps	LMFA01030622		
lipidmaps	LMFA01030623		
lipidmaps	LMFA01030624		
lipidmaps	LMFA01030625		
lipidmaps	LMFA01030626		
lipidmaps	LMFA01030627		
lipidmaps	LMFA01030628		
lipidmaps	LMFA01030629		
lipidmaps	LMFA01030630		
lipidmaps	LMFA01030631		
lipidmaps	LMFA01030632		
lipidmaps	LMFA01030633		
lipidmaps	LMFA01030634		
lipidmaps	LMFA01030635		
lipidmaps	LMFA01030636		
lipidmaps	LMFA01030637		
lipidmaps	LMFA01030638		
lipidmaps	LMFA01030639		
lipidmaps	LMFA01030640		
lipidmaps	LMFA01030641		
lipidmaps	LMFA01030642		
lipidmaps	LMFA01030643		
lipidmaps	LMFA01030644		
lipidmaps	LMFA01030645		
lipidmaps	LMFA01030646		
lipidmaps	LMFA01030647		
