#did,when,nextofkin
WP11,,
WP21,,
WP48,,
WP50,,
WP52,,
WP56,,
WP64,,
WP72,,
WP82,,
WP83,,
WP90,,
WP114,,
WP115,,
WP119,,
WP130,,
WP141,,
WP162,,
WP168,,
WP237,2020-10-30,WP4523
WP850,,
WP1833,2020-11-02,WP2703
WP1898,,
WP2599,,
WP2601,,
WP2700,,
WP2734,,
WP2771,,
WP2785,,
WP3017,,
WP3107,,
WP3383,2020-11-02,WP5022
WP3573,,
WP3607,,
WP4080,2020-11-02,WP4065
WP4089,,
WP4425,,
WP4455,,
WP4651,,
WP4850,,
WP4855,,
WP4862,2020-05-29,WP2863
WP4869,2020-06-03,WP2861
WP4882,,
WP4894,,
WP4895,,
WP4896,,
WP4897,,
WP4898,,
WP4899,,
WP4901,,
WP4902,,
WP4903,,
WP4907,,
WP4908,,
WP4911,,
WP4915,,
WP4916,,
WP4924,,
WP4926,,
WP4929,2020-06-02,WP4928
WP4930,,
WP4934,,
WP4935,,
WP4937,,
WP4938,,
WP4939,,
WP4943,,
WP4951,,
WP4952,,
WP4953,,
WP4954,,
WP4955,,
WP4956,,
WP4957,,
WP4958,,
WP4959,,
WP4960,,
WP4964,,
WP4967,,
WP4968,,
WP5018,,
WP5018,,
WP5032,,
WP5099,,
